,Factor_1,Factor_2,Factor_3
Zdarza mi się zapominać o jedzeniu.,-0.687013231002915,0.5368180291485043,-0.20431062252163662
"Często czuję silny głód, nawet jeśli niedawno jadłem/-am.",-0.8396264302378426,-0.5140555379709377,0.08512413384669032
Rano budzę się głodny/-a i mam ochotę na obfite śniadanie - czuję silny głód.,-0.7843027447654455,-0.29151018250035976,0.18819706292549557
"Mam skłonność do jedzenia dużych porcji, bo trudno mi się najeść.",0.5448296918770044,0.3094637017688817,0.4781425908800084
Moje głodne skurcze żołądka są bardzo intensywne.,-0.6943013069604125,-0.286690356726094,0.3257366707658973
"Kiedy jestem głodny/-a, czuję się rozdrażniony/-a lub zmęczony/-a.",-0.7118089814959238,0.485012621019546,0.3810523973431102
Zdarza mi zjeść jeden duży posiłek w ciągu dnia i nic więcej.,-0.7560747726259645,0.6000168352851211,0.09166130783910513
Po jedzeniu szybko czuję się pełny/-a i nie mam ochoty na więcej.,0.6474518879324683,0.23948552490471944,0.6356440676342253
"Zdarza mi się zostawiać niedokończone posiłki, bo czuję się syty/-a.",0.1405744442341814,-0.32440518742041674,0.6061983470852809
Mam stabilny apetyt i nie odczuwam nagłych napadów głodu.,0.8231973778116848,0.03702021552238365,0.03949644461403837
"Nawet jeśli jem dużo, nie czuję się bardziej najedzony/-a, niż po normalnym posiłku.",0.887810752305874,-0.15068116258713238,0.10165003209838097
Po obfitym posiłku nie czuję potrzeby zjedzenia niczego więcej. (nie chodzi o słodycze i małe przekąski) ,0.5439890968007904,-0.15131073861640829,0.12280543613446238
Po zjedzeniu wysokobiałkowego posiłku długo nie czuję głodu.,0.6763733981755087,0.29192170234977993,-0.02847216544481214
"Gdy jem powoli, zauważam, że szybciej czuję się pełny/-a.",-0.19274022505733043,0.2913813066493744,0.11482813230482303
Po posiłku nie mam ochoty na słodkie lub tłuste przekąski.,0.7443003444856283,0.09894191998906618,-0.34746042387476483
